agent_id,environment_name,eval_episode_return,frame,normalized_return,seed
AdamLMCDQN_nodouble,alien,100.0,0,-0.018522007565327035,0
AdamLMCDQN_nodouble,alien,262.0,400000,0.004956593573819909,0
AdamLMCDQN_nodouble,alien,276.0,800000,0.006985608487079522,0
AdamLMCDQN_nodouble,alien,482.0,1200000,0.036841113639328106,0
AdamLMCDQN_nodouble,alien,296.0,1600000,0.00988420122030754,0
AdamLMCDQN_nodouble,alien,518.0,2000000,0.04205858055913854,0
AdamLMCDQN_nodouble,alien,538.0,2400000,0.04495717329236656,0
AdamLMCDQN_nodouble,alien,478.0,2800000,0.0362613950926825,0
AdamLMCDQN_nodouble,alien,1140.0,3200000,0.13220481456252992,0
AdamLMCDQN_nodouble,alien,496.0,3600000,0.03887012855258772,0
AdamLMCDQN_nodouble,alien,658.0,4000000,0.06234872969173466,0
AdamLMCDQN_nodouble,alien,710.0,4400000,0.06988507079812752,0
AdamLMCDQN_nodouble,alien,816.0,4800000,0.08524761228423601,0
AdamLMCDQN_nodouble,alien,1280.0,5200000,0.15249496369512602,0
AdamLMCDQN_nodouble,alien,1108.0,5600000,0.12756706618936509,0
AdamLMCDQN_nodouble,alien,560.0,6000000,0.048145625298917374,0
AdamLMCDQN_nodouble,alien,634.0,6400000,0.058870418411861046,0
AdamLMCDQN_nodouble,alien,620.0,6800000,0.05684140349860143,0
AdamLMCDQN_nodouble,alien,676.0,7200000,0.06495746315163987,0
AdamLMCDQN_nodouble,alien,760.0,7600000,0.07713155263119756,0
AdamLMCDQN_nodouble,alien,672.0,8000000,0.06437774460499428,0
AdamLMCDQN_nodouble,alien,692.0,8400000,0.06727633733822229,0
AdamLMCDQN_nodouble,alien,708.0,8800000,0.0695952115248047,0
AdamLMCDQN_nodouble,alien,672.0,9200000,0.06437774460499428,0
AdamLMCDQN_nodouble,alien,750.0,9600000,0.07568225626458355,0
AdamLMCDQN_nodouble,alien,864.0,10000000,0.09220423484398325,0
AdamLMCDQN_nodouble,alien,716.0,10400000,0.07075464861809591,0
